Month,London Mean Roadside Nitric Oxide (ug/m3),London Mean Roadside Nitrogen Dioxide (ug/m3),London Mean Roadside Oxides of Nitrogen (ug/m3),London Mean Roadside Ozone (ug/m3),London Mean Roadside PM10 Particulate (ug/m3),London Mean Roadside PM2.5 Particulate (ug/m3),London Mean Roadside Sulphur Dioxide (ug/m3),London Mean Background Nitric Oxide (ug/m3),London Mean Background Nitrogen Dioxide (ug/m3),London Mean Background Oxides of Nitrogen (ug/m3),London Mean Background Ozone (ug/m3),London Mean Background PM10 Particulate (ug/m3),London Mean Background PM2.5 Particulate (ug/m3),London Mean Background Sulphur Dioxide (ug/m3)
2008-01-01,,55.50268817204302,,29.51209677419359,24.96908602150539,14.67876344086021,4.21774193548387,,42.33870967741941,,36.94220430107526,18.817204301075247,,3.5725806451612905
2008-02-01,,75.92241379310352,,20.317528735632195,39.47701149425283,28.772988505747133,7.553160919540228,,60.23706896551718,,26.42528735632184,31.89655172413792,,6.734195402298855
2008-03-01,,55.61021505376343,,40.10349462365595,21.56989247311827,12.300134589502015,3.8682795698924743,,39.801075268817215,,50.227150537634444,15.477150537634406,,2.2862903225806464
2008-04-01,,61.75694444444442,,37.8847222222222,28.74027777777778,20.461111111111094,4.474999999999999,,44.00972222222221,,50.13333333333338,21.72916666666667,,3.23611111111111
2008-05-01,,62.9032258064516,,46.266129032258064,34.61155913978489,27.50806451612901,4.634408602150535,,44.14112903225809,,60.51209677419357,29.545698924731177,16.576826196473558,4.249999999999997
2008-06-01,,49.16111111111112,,39.836111111111094,23.198611111111127,16.010057471264368,3.593055555555555,,31.241666666666625,,51.32638888888888,18.25,12.613764044943824,2.547222222222224
2008-07-01,,48.444892473118365,,34.98252688172039,22.95833333333334,14.240591397849471,3.1008064516129052,,31.216397849462357,,46.62365591397845,17.204301075268813,11.89919354838709,2.493279569892473
2008-08-01,,41.07258064516133,,30.021505376344056,20.69354838709678,11.452956989247317,2.155913978494621,,27.850806451612897,,37.094086021505376,15.508064516129016,11.201379310344814,2.0887096774193536
2008-09-01,,54.08055555555553,,22.375000000000004,28.227777777777774,17.979166666666668,3.7486111111111113,,41.2152777777778,,28.88611111111111,22.244444444444454,15.324512534818943,3.0569444444444454
2008-10-01,,56.65860215053767,,19.337365591397845,23.002688172043023,12.918010752688179,4.305107526881724,,43.81317204301073,,25.427419354838698,16.469086021505365,11.620967741935488,2.83870967741936
2008-11-01,,57.92916666666667,,18.809722222222216,21.85416666666669,14.713888888888906,3.2874999999999983,,42.311111111111146,,22.58194444444447,16.75277777777777,12.890277777777788,2.6722222222222225
2008-12-01,,65.10349462365585,,14.486559139784939,27.297043010752684,20.516129032258057,3.791666666666666,,47.50806451612904,,16.67069892473116,21.510752688172033,18.095430107526873,3.4999999999999964
2009-01-01,,68.52284946236546,,18.78494623655912,31.112903225806445,23.177419354838698,5.880376344086017,,51.98521505376342,,21.471774193548406,25.275537634408582,20.65994623655913,4.842741935483871
